latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.01933,29.015692,48.0,10800,Europe/Istanbul,GMT+3

time,precipitation_sum (mm),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2000-01-27,0.00,-3.0,0.00,0.00
2000-01-28,0.00,1.6,0.00,0.00
2000-01-29,0.00,2.2,0.00,0.00
2000-01-30,0.00,6.7,0.00,0.00
2000-01-31,0.00,8.0,0.00,0.00
2000-02-01,0.20,8.1,0.20,0.00
2000-02-02,0.00,6.8,0.00,0.00
2000-02-03,1.70,9.5,1.70,0.00
2000-02-04,15.40,5.9,15.40,0.00
2000-02-05,0.20,2.9,0.20,0.00
2000-02-06,0.00,6.4,0.00,0.00
2000-02-07,0.00,7.6,0.00,0.00
2000-02-08,0.00,7.2,0.00,0.00
2000-02-09,0.00,10.2,0.00,0.00
2000-02-10,0.20,10.4,0.20,0.00
2000-02-11,0.20,7.7,0.20,0.00
2000-02-12,0.10,6.8,0.10,0.00
2000-02-13,0.00,5.8,0.00,0.00
2000-02-14,0.00,4.3,0.00,0.00
2000-02-15,7.30,3.4,7.30,0.00
2000-02-16,2.60,4.5,2.60,0.00
2000-02-17,0.00,6.8,0.00,0.00
2000-02-18,2.00,10.3,2.00,0.00
2000-02-19,8.40,5.3,8.20,0.14
2000-02-20,4.20,7.9,4.20,0.00
2000-02-21,17.80,6.7,17.80,0.00
2000-02-22,0.30,3.1,0.30,0.00
2000-02-23,0.00,2.5,0.00,0.00
2000-02-24,0.00,2.8,0.00,0.00
2000-02-25,0.00,3.1,0.00,0.00
2000-02-26,3.00,4.5,3.00,0.00
2000-02-27,0.20,4.5,0.20,0.00
2000-02-28,1.40,3.6,1.40,0.00
2000-02-29,0.00,4.3,0.00,0.00
2000-03-01,0.00,4.8,0.00,0.00
2000-03-02,0.00,7.0,0.00,0.00
2000-03-03,1.10,9.1,1.10,0.00
2000-03-04,0.20,7.3,0.20,0.00
2000-03-05,5.10,9.6,5.10,0.00
2000-03-06,17.10,3.0,12.30,3.36
2000-03-07,0.00,3.5,0.00,0.00
2000-03-08,0.00,6.9,0.00,0.00
2000-03-09,0.00,9.6,0.00,0.00
2000-03-10,13.60,11.0,13.60,0.00
2000-03-11,3.60,5.6,3.60,0.00
2000-03-12,0.10,8.1,0.10,0.00
2000-03-13,0.00,6.5,0.00,0.00
2000-03-14,0.00,4.8,0.00,0.00
2000-03-15,0.00,6.0,0.00,0.00
2000-03-16,13.60,6.8,12.40,0.84
2000-03-17,18.60,3.0,9.50,6.37
2000-03-18,6.00,3.3,6.00,0.00
2000-03-19,3.40,3.5,3.30,0.07
2000-03-20,0.80,4.1,0.80,0.00
2000-03-21,1.40,4.6,1.40,0.00
2000-03-22,0.40,4.3,0.40,0.00
2000-03-23,0.00,5.1,0.00,0.00
2000-03-24,0.00,6.6,0.00,0.00
2000-03-25,0.00,7.9,0.00,0.00
2000-03-26,0.00,9.3,0.00,0.00
2000-03-27,0.10,12.3,0.10,0.00
2000-03-28,0.00,13.0,0.00,0.00
2000-03-29,0.00,12.1,0.00,0.00
2000-03-30,0.00,13.8,0.00,0.00
2000-03-31,0.00,13.3,0.00,0.00
2000-04-01,0.00,14.6,0.00,0.00
2000-04-02,0.00,14.7,0.00,0.00
2000-04-03,0.00,12.8,0.00,0.00
2000-04-04,0.00,15.5,0.00,0.00
2000-04-05,0.00,18.1,0.00,0.00
2000-04-06,0.00,14.9,0.00,0.00
2000-04-07,1.60,11.4,1.60,0.00
2000-04-08,1.90,8.0,1.90,0.00
2000-04-09,0.00,8.3,0.00,0.00
2000-04-10,0.00,9.8,0.00,0.00
2000-04-11,6.70,10.7,6.70,0.00
2000-04-12,2.30,12.7,2.30,0.00
2000-04-13,3.80,11.3,3.80,0.00
2000-04-14,0.00,11.4,0.00,0.00
2000-04-15,0.00,13.7,0.00,0.00
2000-04-16,0.00,15.3,0.00,0.00
2000-04-17,0.00,14.8,0.00,0.00
2000-04-18,0.00,13.0,0.00,0.00
2000-04-19,4.90,12.5,4.90,0.00
2000-04-20,16.60,12.2,16.60,0.00
2000-04-21,1.90,12.9,1.90,0.00
2000-04-22,4.50,14.1,4.50,0.00
2000-04-23,9.50,13.7,9.50,0.00
2000-04-24,8.00,13.9,8.00,0.00
2000-04-25,0.60,16.4,0.60,0.00
2000-04-26,8.10,15.1,8.10,0.00
2000-04-27,7.10,12.7,7.10,0.00
2000-04-28,2.20,13.1,2.20,0.00
2000-04-29,4.80,13.4,4.80,0.00
2000-04-30,0.00,14.6,0.00,0.00
2000-05-01,0.00,14.6,0.00,0.00
2000-05-02,8.70,14.5,8.70,0.00
2000-05-03,9.40,11.4,9.40,0.00
2000-05-04,0.00,10.7,0.00,0.00
2000-05-05,0.00,10.7,0.00,0.00
2000-05-06,0.00,10.9,0.00,0.00
2000-05-07,0.00,12.7,0.00,0.00
2000-05-08,0.00,13.5,0.00,0.00
2000-05-09,0.00,12.9,0.00,0.00
2000-05-10,0.00,14.4,0.00,0.00
2000-05-11,0.00,16.3,0.00,0.00
2000-05-12,0.00,18.5,0.00,0.00
2000-05-13,3.20,16.5,3.20,0.00
2000-05-14,0.00,14.0,0.00,0.00
