,GENERAL_DAM_OCCUPANCY_RATE,GENERAL_DAM_RESERVED_WATER,precipitation_sum (mm),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2005-01-31,46.650000000000006,405.258064516129,126.2,7.006451612903225,125.6,0.77
2005-02-28,72.67928571428571,631.2857142857143,108.5,5.996428571428572,87.7,14.91
2005-03-31,92.83709677419354,806.4193548387096,66.8,7.090322580645162,56.7,7.28
2005-04-30,92.33166666666666,802.1,36.1,11.813333333333333,36.1,0.0
2005-05-31,87.71967741935484,762.0322580645161,12.3,16.148387096774194,12.3,0.0
2005-06-30,83.30933333333334,723.6666666666666,8.200000000000001,20.243333333333332,8.200000000000001,0.0
2005-07-31,76.62451612903226,665.741935483871,71.9,23.506451612903227,71.9,0.0
2005-08-31,68.29387096774194,593.1290322580645,9.3,24.68064516129032,9.3,0.0
2005-09-30,60.68933333333334,527.2333333333333,74.1,20.94,74.1,0.0
2005-10-31,54.38612903225807,472.4516129032258,66.4,14.925806451612903,66.4,0.0
2005-11-30,51.342,445.93333333333334,122.5,10.313333333333333,122.0,0.35
2005-12-31,61.277741935483874,532.2903225806451,125.0,8.441935483870967,118.6,4.48
2006-01-31,82.69225806451612,718.3548387096774,79.3,4.074193548387097,45.3,25.41
2006-02-28,95.65785714285714,830.9285714285714,103.0,5.171428571428572,69.8,23.8
2006-03-31,98.48483870967742,855.6774193548387,87.2,8.193548387096774,82.0,3.64
2006-04-30,97.66166666666666,848.3,16.3,12.003333333333334,16.3,0.0
2006-05-31,93.1841935483871,809.3870967741935,16.7,16.3,16.7,0.0
2006-06-30,86.70533333333333,753.1,38.1,21.34,38.1,0.0
2006-07-31,79.39741935483872,689.6774193548387,2.6,23.30322580645161,2.6,0.0
2006-08-31,70.12322580645161,609.0322580645161,10.8,25.55806451612903,10.8,0.0
2006-09-30,61.63333333333333,535.3333333333334,66.0,20.69333333333333,66.0,0.0
2006-10-31,56.57806451612903,491.48387096774195,54.699999999999996,16.86774193548387,54.699999999999996,0.0
2006-11-30,60.38699999999999,524.5333333333333,78.8,10.616666666666667,78.8,0.0
2006-12-31,57.85258064516129,502.48387096774195,33.8,7.561290322580645,24.0,6.93
2007-01-31,55.839999999999996,485.0,65.3,8.061290322580644,64.4,0.63
2007-02-28,55.32535714285715,480.57142857142856,22.6,7.028571428571429,22.4,0.14
2007-03-31,54.060322580645156,469.7096774193548,47.4,8.703225806451613,47.4,0.0
2007-04-30,52.346333333333334,454.7,13.799999999999999,10.843333333333334,13.799999999999999,0.0
2007-05-31,47.14741935483871,409.5483870967742,23.6,17.932258064516127,23.6,0.0
2007-06-30,40.506,351.8333333333333,10.200000000000001,23.35,10.200000000000001,0.0
2007-07-31,32.34129032258065,281.0,2.1,24.748387096774195,2.1,0.0
2007-08-31,24.66322580645161,214.2258064516129,23.2,25.22258064516129,23.2,0.0
2007-09-30,17.883,155.2,25.8,20.723333333333336,25.8,0.0
2007-10-31,12.230967741935485,106.38709677419355,64.4,16.95483870967742,64.4,0.0
2007-11-30,13.876666666666667,120.53333333333333,108.8,10.953333333333335,108.8,0.0
2007-12-31,22.56451612903226,196.09677419354838,73.8,7.054838709677419,73.8,0.0
2008-01-31,25.756774193548388,223.80645161290323,46.2,4.312903225806451,41.8,3.92
2008-02-29,29.36758620689655,255.10344827586206,47.5,5.620689655172414,24.3,16.240000000000002
2008-03-31,38.78258064516129,336.9032258064516,82.3,10.593548387096773,82.3,0.0
2008-04-30,43.419999999999995,377.1333333333333,30.9,13.666666666666666,30.9,0.0
2008-05-31,41.27322580645161,358.5483870967742,18.2,16.6,18.2,0.0
2008-06-30,36.24466666666667,314.8666666666667,6.4,22.023333333333333,6.4,0.0
2008-07-31,30.024838709677418,260.7096774193548,9.200000000000001,23.97741935483871,9.200000000000001,0.0
2008-08-31,23.536451612903225,204.48387096774192,0.9,24.970967741935485,0.9,0.0
